state,date,cases,Population,deaths,EmergDec_x,EmergDec_y,SchoolClose,GathRestrict25,GathRestrictAny,OtherBusinessClose,RestaurantRestrict,GathRestrict10,CaseIsolation,StayAtHome,PublicMask,Quarantine,NEBusinessClose,TravelRestrictIntra,GathRestrict50,BusinessHealthSafety,GathRestrict250,GathRecomAny,GathRestrict1000,TravelRestrictExit,TravelRestrictEntry,GathRestrict100,GathRestrict5,GathRestrict500,sub_region_1,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,mobility_score
Arizona,2020-03-19,45,7278717,0,17,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,1,0,1,Arizona,-22.0,7.0,-8.0,-23.0,-33.0,13.0,7712.0
Minnesota,2020-02-13,0,5639632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,7973.0
New York,2020-04-08,151061,26161672,9834,64,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,New York,-62.0,-12.0,-23.0,-70.0,-63.0,27.0,3398.0
Maine,2020-02-09,0,1344212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,9023.0
Connecticut,2020-03-06,0,3565287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Connecticut,2.0,1.0,1.0,2.0,2.0,1.0,5597.0
Montana,2020-05-01,453,1068778,16,58,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Montana,-23.0,13.0,72.0,-16.0,-33.0,11.0,4868.0
South Carolina,2020-03-11,10,5148714,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,South Carolina,10.0,7.0,43.0,10.0,1.0,-1.0,7800.0
Iowa,2020-05-05,10111,3155070,207,101,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,Iowa,-27.0,14.0,13.0,-18.0,-39.0,17.0,5369.0
Oregon,2020-02-24,0,4217737,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oregon,5.0,1.0,28.0,3.0,4.0,-1.0,5952.0
Indiana,2020-04-13,8359,6732219,350,94,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,Indiana,-39.0,-17.0,-10.0,-31.0,-47.0,19.0,5665.0
North Dakota,2020-04-09,269,762062,5,55,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,1,1,1,1,1,1,1,North Dakota,-40.0,-8.0,-4.0,-34.0,-38.0,19.0,4663.0
Alabama,2020-03-31,987,4903185,23,69,1,1,1,1,1,1,1,0,0,0,1,1,1,0,0,1,1,1,1,0,1,1,1,Alabama,-36.0,-11.0,-23.0,-26.0,-40.0,17.0,7674.0
