,unnamed: 0,state,date,cases,deaths,population,emergdec,schoolclose,barrestrict,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict100,gathrestrict1000,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,sir,knn,mdp,agg,sir_low,sir_high,sir_sample,knn_low,knn_sample,mdp_low,mdp_sample,agg_low,agg_sample,knn_high,mdp_high,agg_high
0,58,Alabama,2020-03-20,106,0,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-27.0,10.0,7.0,-14.0,-29.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
1,59,Alabama,2020-03-21,131,0,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35.0,5.0,10.0,-13.0,-16.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,
2,60,Alabama,2020-03-22,157,0,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-40.0,-7.0,2.0,-22.0,-27.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
3,61,Alabama,2020-03-23,196,0,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-33.0,-6.0,-11.0,-22.0,-33.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
4,62,Alabama,2020-03-24,242,0,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-32.0,-5.0,4.0,-18.0,-34.0,15.0,,,,,,,,,,,,,,,,,,,,,,,,
5,63,Alabama,2020-03-25,381,1,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-28.0,-4.0,36.0,-15.0,-36.0,13.0,,,,,,,,,,,,,,,,,,,,,,,,
6,64,Alabama,2020-03-26,517,1,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.0,-3.0,32.0,-19.0,-36.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,
7,65,Alabama,2020-03-27,587,4,4903185.0,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-30.0,-2.0,30.0,-24.0,-37.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,
8,66,Alabama,2020-03-28,694,4,4903185.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-36.0,-2.0,22.0,-25.0,-22.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
9,67,Alabama,2020-03-29,825,10,4903185.0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.0,-13.0,19.0,-30.0,-32.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,
