,state,date,cases
0,Connecticut,2020-03-22,327
1,Connecticut,2020-03-23,415
2,Connecticut,2020-03-24,618
3,Connecticut,2020-03-25,875
4,Connecticut,2020-03-26,1012
5,Connecticut,2020-03-27,1291
6,Connecticut,2020-03-28,1524
7,Connecticut,2020-03-29,1993
8,Connecticut,2020-03-30,2571
9,Connecticut,2020-03-31,3128
10,Connecticut,2020-04-01,3557
11,Connecticut,2020-04-02,3824
12,Connecticut,2020-04-03,4914
13,Connecticut,2020-04-04,5276
14,Connecticut,2020-04-05,5675
15,Connecticut,2020-04-06,6906
16,Connecticut,2020-04-07,7781
17,Connecticut,2020-04-08,7781
18,Connecticut,2020-04-09,9784
19,Connecticut,2020-04-10,10538
20,Connecticut,2020-04-11,11510
21,Connecticut,2020-04-12,12035
22,Connecticut,2020-04-13,13381
23,Connecticut,2020-04-14,13989
24,Connecticut,2020-04-15,14755
25,Connecticut,2020-04-16,15884
26,Connecticut,2020-04-17,16809
27,Connecticut,2020-04-18,17550
28,Connecticut,2020-04-19,17962
29,Connecticut,2020-04-20,19815
30,Connecticut,2020-04-21,20360
31,Connecticut,2020-04-22,22469
32,Connecticut,2020-04-23,23100
33,Connecticut,2020-04-24,23936
34,Connecticut,2020-04-25,24583
35,Connecticut,2020-04-26,25269
36,Connecticut,2020-04-27,25997
37,Connecticut,2020-04-28,26312
38,Connecticut,2020-04-29,26767
39,Connecticut,2020-04-30,27700
40,Connecticut,2020-05-01,28764
41,Connecticut,2020-05-02,29287
42,Connecticut,2020-05-03,29287
43,Connecticut,2020-05-04,29973
44,Connecticut,2020-05-05,30621
45,Connecticut,2020-05-06,30995
46,Connecticut,2020-05-07,31784
47,Connecticut,2020-05-08,32411
48,Connecticut,2020-05-09,32984
49,Connecticut,2020-05-10,33554
50,Connecticut,2020-05-11,33765
51,Connecticut,2020-05-12,34333
52,Connecticut,2020-05-13,34855
53,Connecticut,2020-05-14,35464
54,Connecticut,2020-05-15,36085
55,Connecticut,2020-05-16,36703
