,state,date,cases,GrowthRate
171,Connecticut,2020-09-09,53871,0.0016548287531144013
172,Connecticut,2020-09-10,54093,0.0041209556161942995
173,Connecticut,2020-09-11,54326,0.0043073965208066944
174,Connecticut,2020-09-12,54326,0.0
175,Connecticut,2020-09-13,54326,0.0
176,Connecticut,2020-09-14,54895,0.010473806280602238
177,Connecticut,2020-09-15,55031,0.0024774569632934895
178,Connecticut,2020-09-16,55166,0.0024531627628063823
179,Connecticut,2020-09-17,55386,0.003987963600768696
180,Connecticut,2020-09-18,55527,0.0025457696890911485
181,Connecticut,2020-09-19,55527,0.0
182,Connecticut,2020-09-20,55527,0.0
183,Connecticut,2020-09-21,56024,0.008950600608712778
184,Connecticut,2020-09-22,56160,0.002427531058117882
185,Connecticut,2020-09-23,56315,0.002759971509971537
186,Connecticut,2020-09-24,56472,0.0027878895498534284
187,Connecticut,2020-09-25,56587,0.0020364074231478124
188,Connecticut,2020-09-26,56587,0.0
189,Connecticut,2020-09-27,56587,0.0
190,Connecticut,2020-09-28,57147,0.009896265926802927
191,Connecticut,2020-09-29,57329,0.003184769104239926
192,Connecticut,2020-09-30,57550,0.003854942524725624
193,Connecticut,2020-10-01,57742,0.003336229365768828
194,Connecticut,2020-10-02,58297,0.009611721104222148
195,Connecticut,2020-10-03,58297,0.0
196,Connecticut,2020-10-04,58297,0.0
197,Connecticut,2020-10-05,59120,0.014117364529907306
198,Connecticut,2020-10-06,59241,0.0020466847090663265
199,Connecticut,2020-10-07,59364,0.00207626474907574
200,Connecticut,2020-10-08,59748,0.006468566808166543
382,Massachusetts,2020-09-09,123143,0.0014719994795140412
383,Massachusetts,2020-09-10,123546,0.0032726180132041094
384,Massachusetts,2020-09-11,123986,0.003561426513201571
385,Massachusetts,2020-09-12,124540,0.00446824641491772
386,Massachusetts,2020-09-13,124826,0.002296450939457184
387,Massachusetts,2020-09-14,125080,0.0020348324868215695
388,Massachusetts,2020-09-15,125393,0.002502398464982347
389,Massachusetts,2020-09-16,125699,0.0024403276099942417
390,Massachusetts,2020-09-17,126128,0.0034129149794350777
391,Massachusetts,2020-09-18,126582,0.0035995179500190044
392,Massachusetts,2020-09-19,127181,0.004732110410642809
393,Massachusetts,2020-09-20,127540,0.0028227486810137314
394,Massachusetts,2020-09-21,127796,0.0020072134232398398
395,Massachusetts,2020-09-22,127969,0.0013537199912361242
396,Massachusetts,2020-09-23,128512,0.004243215153669988
397,Massachusetts,2020-09-24,128993,0.003742841135458086
