,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict1000,gathrestrict100,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,home_time,percentage,full_time,part_time,non_home_time,distance
3600,Massachusetts,2020-01-22,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,660,67,0.5,0.652173913,200,5902
3601,Massachusetts,2020-01-23,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,680,68,0.5,0.625,209,5540
3602,Massachusetts,2020-01-24,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,643,67,0.461538462,0.6,223,5889
3603,Massachusetts,2020-01-25,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,791,85,0.090909091,0.217391304,106,6209
3604,Massachusetts,2020-01-26,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,859,90,0.066666667,0.162162162,79,5565
3605,Massachusetts,2020-01-27,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,714,68,0.533333333,0.583333333,218,5670
3606,Massachusetts,2020-01-28,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,700,68,0.5,0.583333333,220,5735
3607,Massachusetts,2020-01-29,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,685,67,0.563636364,0.714285714,232,5609
3608,Massachusetts,2020-01-30,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,687,67,0.6,0.692307692,247,5639
3609,Massachusetts,2020-01-31,0,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,647,66,0.588235294,0.739130435,252,5815
3610,Massachusetts,2020-02-01,1,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,734,86,0.081632653,0.217391304,91,5947
3611,Massachusetts,2020-02-02,1,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,800,91,0.05,0.136363636,61,5062
3612,Massachusetts,2020-02-03,1,0,6892503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,617,71,0.352941176,0.428571429,135,5839
