,Unnamed: 0,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict1000,gathrestrict100,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,recovered,active,incident_rate,people_tested,people_hospitalized,mortality_rate,testing_rate,hospitalization_rate,home_time,percentage,full_time,part_time,non_home_time,distance,cases_nom,deaths_nom,cases_nom_pct2,cases_nom_pct5,deaths_nom_pct2,deaths_nom_pct5,residential_pct10
0,0,Alabama,2020-01-22,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,704.0,64.0,0.835616438,1.333333333,341.0,9297.0,0.0,0.0,,,,,
1,1,Alabama,2020-01-23,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,717.0,65.0,0.772727273,1.218181818,338.0,9057.0,0.0,0.0,,,,,
2,2,Alabama,2020-01-24,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,663.0,63.0,0.7777777779999999,1.333333333,349.0,9247.0,0.0,0.0,,,,,
3,3,Alabama,2020-01-25,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,811.0,80.0,0.14285714300000002,0.533333333,176.0,9830.0,0.0,0.0,,,,,
4,4,Alabama,2020-01-26,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,910.0,85.0,0.12,0.446808511,143.0,7953.0,0.0,0.0,,,,,
5,5,Alabama,2020-01-27,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,727.0,65.0,0.80952381,1.235294118,343.0,8901.0,0.0,0.0,,,,,
6,6,Alabama,2020-01-28,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,708.0,64.0,0.837837838,1.292682927,352.0,9010.0,0.0,0.0,,,,,
7,7,Alabama,2020-01-29,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,719.0,64.0,0.842105263,1.333333333,356.0,9036.0,0.0,0.0,,,,,
8,8,Alabama,2020-01-30,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,700.0,64.0,0.833333333,1.380952381,358.0,9175.0,0.0,0.0,,,,,
9,9,Alabama,2020-01-31,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,664.0,63.0,0.8,1.45,358.0,9342.0,0.0,0.0,,,,,
10,10,Alabama,2020-02-01,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,772.0,82.0,0.144144144,0.452380952,144.0,9291.0,0.0,0.0,,,,,
11,11,Alabama,2020-02-02,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,862.0,86.0,0.075757576,0.347826087,126.0,7493.0,0.0,0.0,,,,,
12,12,Alabama,2020-02-03,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,693.0,67.0,0.551020408,0.945945946,266.0,8547.0,0.0,0.0,,,,,
13,13,Alabama,2020-02-04,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,709.0,66.0,0.632911392,1.0,294.0,8523.0,0.0,0.0,,,,,
14,14,Alabama,2020-02-05,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,750.0,69.0,0.565217391,0.97826087,278.0,8485.0,0.0,0.0,,,,,
15,15,Alabama,2020-02-06,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,738.0,70.0,0.47826087,0.872340426,259.0,8636.0,0.0,0.0,,,,,
16,16,Alabama,2020-02-07,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,608.0,65.0,0.523809524,0.928571429,284.0,9098.0,0.0,0.0,,,,,
17,17,Alabama,2020-02-08,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,739.0,80.0,0.121212121,0.461538462,154.0,9488.0,0.0,0.0,,,,,
18,18,Alabama,2020-02-09,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,837.0,85.0,0.073529412,0.382352941,129.0,7700.0,0.0,0.0,,,,,
19,19,Alabama,2020-02-10,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,701.0,67.0,0.590909091,0.894736842,267.0,8621.0,0.0,0.0,,,,,
20,20,Alabama,2020-02-11,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,736.0,68.0,0.56,1.066666667,288.0,8481.0,0.0,0.0,,,,,
21,21,Alabama,2020-02-12,0,0,4903185.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,704.0,66.0,0.6779661020000001,1.105263158,309.0,8377.0,0.0,0.0,,,,,
