state,date,cases
Alabama,13-03-2020,5
Alabama,14-03-2020,7
Alabama,15-03-2020,11
Alabama,16-03-2020,29
Alabama,17-03-2020,39
Alabama,18-03-2020,51
Alabama,19-03-2020,78
Alabama,20-03-2020,106
Alabama,21-03-2020,131
Alabama,22-03-2020,157
Alabama,23-03-2020,196
Alabama,24-03-2020,242
Alabama,25-03-2020,381
Alabama,26-03-2020,517
Alabama,27-03-2020,587
Alabama,28-03-2020,694
Alabama,29-03-2020,825
Alabama,30-03-2020,899
Alabama,31-03-2020,987
Alabama,01-04-2020,1060
Alabama,02-04-2020,1233
Alabama,03-04-2020,1495
Alabama,04-04-2020,1614
Alabama,05-04-2020,1765
Alabama,06-04-2020,1952
Alabama,07-04-2020,2169
Alabama,08-04-2020,2328
Alabama,09-04-2020,2703
Alabama,10-04-2020,2947
Alabama,11-04-2020,3217
Alabama,12-04-2020,3563
Alabama,13-04-2020,3734
Alabama,14-04-2020,3953
Alabama,15-04-2020,4075
Alabama,16-04-2020,4345
Alabama,17-04-2020,4571
Alabama,18-04-2020,4712
Alabama,19-04-2020,4888
Alabama,20-04-2020,5079
Alabama,21-04-2020,5317
Alabama,22-04-2020,5593
Alabama,23-04-2020,5832
Alabama,24-04-2020,6026
Alabama,25-04-2020,6026
Alabama,26-04-2020,6421
Alabama,27-04-2020,6539
Alabama,28-04-2020,6750
Alabama,29-04-2020,6912
Alabama,30-04-2020,7088
Alabama,01-05-2020,7294
Alabama,02-05-2020,7611
Alabama,03-05-2020,7888
Alabama,04-05-2020,8112
Alabama,05-05-2020,8437
Alabama,06-05-2020,8691
Alabama,07-05-2020,9046
Alabama,08-05-2020,9385
Alabama,09-05-2020,9668
Alabama,10-05-2020,9889
Alabama,11-05-2020,10164
Alabama,12-05-2020,10464
Alabama,13-05-2020,10700
Alabama,14-05-2020,11101
Alaska,13-03-2020,1
Alaska,14-03-2020,1
Alaska,15-03-2020,1
Alaska,16-03-2020,1
Alaska,17-03-2020,3
Alaska,18-03-2020,5
Alaska,19-03-2020,8
Alaska,20-03-2020,11
Alaska,21-03-2020,13
Alaska,22-03-2020,18
