,state,date,cases,deaths,population,emergdec,schoolclose,gathrestrict25,gathrestrictany,otherbusinessclose,restaurantrestrict,gathrestrict10,caseisolation,stayathome,publicmask,quarantine,nebusinessclose,travelrestrictintra,gathrestrict50,gathrecomany,gathrestrict250,gathrestrict5,gathrestrict1000,gathrestrict100,gathrestrict3,travelrestrictexit,travelrestrictentry,gathrestrict500,retail_and_recreation,grocery_and_pharmacy,parks,transit_stations,workplaces,residential,home_time,percentage,full_time,part_time,non_home_time,distance
0,Alabama,2020/1/22,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,704,64,0.835616438,1.333333333,341,9297
1,Alabama,2020/1/23,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,717,65,0.772727273,1.218181818,338,9057
2,Alabama,2020/1/24,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,663,63,0.777777778,1.333333333,349,9247
3,Alabama,2020/1/25,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,811,80,0.142857143,0.533333333,176,9830
4,Alabama,2020/1/26,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,910,85,0.12,0.446808511,143,7953
5,Alabama,2020/1/27,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,727,65,0.80952381,1.235294118,343,8901
6,Alabama,2020/1/28,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,708,64,0.837837838,1.292682927,352,9010
7,Alabama,2020/1/29,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,719,64,0.842105263,1.333333333,356,9036
8,Alabama,2020/1/30,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,700,64,0.833333333,1.380952381,358,9175
9,Alabama,2020/1/31,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,664,63,0.8,1.45,358,9342
10,Alabama,2020/2/1,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,772,82,0.144144144,0.452380952,144,9291
11,Alabama,2020/2/2,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,862,86,0.075757576,0.347826087,126,7493
12,Alabama,2020/2/3,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,693,67,0.551020408,0.945945946,266,8547
13,Alabama,2020/2/4,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,709,66,0.632911392,1,294,8523
14,Alabama,2020/2/5,0,0,4903185,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,750,69,0.565217391,0.97826087,278,8485
