,state,date,knn,mdp,rmdp,bilstm,agg,cases
0,Texas,2020-09-24,763769.0,757386.0,756603.4381028335,757535.0,756603.4381025239,751831
1,Texas,2020-09-26,775095.0,765974.0,767996.6530062427,767302.0,767996.6530059036,758869
2,Texas,2020-09-25,769518.0,761668.0,762277.6454347488,762424.0,762277.6454344245,755560
3,Texas,2020-09-19,735819.0,729111.0,728926.3534149613,732932.0,728926.3534147236,711690
4,Texas,2020-09-05,659485.0,658454.0,656907.4793047736,662989.0,656907.4793047234,659154
5,Texas,2020-09-17,725211.0,718571.0,718149.7098754861,723031.0,718149.7098752765,705467
6,Texas,2020-09-12,696146.0,694022.0,691945.3533163388,698111.0,691945.3533161975,681494
7,Texas,2020-09-23,757944.0,750657.0,750992.1248800592,752635.0,750992.1248797642,747358
8,Texas,2020-09-11,690360.0,687856.0,686827.3725874922,693101.0,686827.3725873642,678738
9,Texas,2020-09-22,752555.0,743988.0,745424.368414071,747724.0,745424.3684137906,745787
10,Texas,2020-09-08,673679.0,671890.0,671702.7053685762,678130.0,671702.7053684875,665949
11,Texas,2020-09-10,685231.0,681745.0,681749.0343947284,688088.0,681749.0343946136,672800
12,Texas,2020-09-16,718996.0,712187.0,712836.8863254607,718064.0,712836.886325265,700902
13,Texas,2020-09-02,645322.0,643170.0,642398.8650027564,647758.0,642398.8650027439,645179
14,Texas,2020-09-01,640603.0,639554.0,637608.9568565771,642722.0,637608.9568565771,641021
15,Texas,2020-09-18,730488.0,725012.0,723504.0033472958,727987.0,723504.0033470724,708811
16,Texas,2020-09-07,668674.0,668112.0,666734.3480119803,673071.0,666734.3480119045,662521
17,Texas,2020-09-03,649852.0,646806.0,647226.7059120933,652823.0,647226.7059120683,648750
18,Texas,2020-09-21,747105.0,737379.0,739899.8153200572,742804.0,739899.8153197911,739185
19,Texas,2020-09-13,702338.0,697945.0,697111.269122227,703114.0,697111.2691220721,685893
20,Texas,2020-09-20,741479.0,733233.0,734391.5051235263,737873.0,734391.5051232745,717394
21,Texas,2020-09-15,713270.0,705860.0,707565.1969950986,713091.0,707565.1969949167,696821
22,Texas,2020-09-14,708253.0,701891.0,702317.7715006081,708108.0,702317.7715004397,689780
23,Texas,2020-09-04,654253.0,652604.0,652048.2750234797,657932.0,652048.2750234421,654665
24,Texas,2020-09-09,679507.0,675688.0,676710.0176245652,683069.0,676710.0176244634,671068
25,Texas,2020-09-06,665129.0,664356.0,661804.6260647193,667996.0,661804.6260646563,661654
26,Rhode Island,2020-09-24,24020.0,22917.0,24315.200426825137,24583.0,24315.20042682245,24311
27,Rhode Island,2020-09-26,24088.0,23007.0,24529.57395894005,24878.0,24529.573958937115,24181
28,Rhode Island,2020-09-25,24054.0,22962.0,24422.27940032719,24729.0,24422.279400324376,24181
29,Rhode Island,2020-09-19,23548.0,22692.0,23788.056139953278,23883.0,23788.0561399512,23620
30,Rhode Island,2020-09-05,22394.0,22076.0,22374.97400696577,22258.0,22374.974006965323,22243
31,Rhode Island,2020-09-17,23455.0,22603.0,23580.287998785785,23619.0,23580.287998783948,23488
32,Rhode Island,2020-09-12,23143.0,22382.0,23070.029691536103,23003.0,23070.029691534855,22905
