,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_bilstm,MAPE_agg
0,Texas,0.021381819523527777,0.009362617263322128,0.01202796926247179,0.011112589919999367,0.012027969262024917
1,Rhode Island,0.0038459947892973824,0.04855051486704438,0.014415200320088124,0.02882428352839006,0.014415200319966714
2,Mississippi,0.3291475738800335,0.033430909109715856,0.07962341228045611,0.043702224934575956,0.079623412279932
3,Montana,0.03124212648022172,0.2099605274208449,0.0062553196583210536,0.07860922146636433,0.006255319658964964
4,Georgia,0.02167437148145906,0.03789430757025931,0.041917888966550125,0.023907758870626017,0.04191788896615567
5,California,0.27844414088285235,0.06388499116355048,0.06982661776119778,0.03967051870639828,0.06982661776082913
6,Washington,0.01292290816851198,0.050011997394851404,0.024897804294381935,0.06324341000239948,0.02489780429411141
7,Wyoming,0.09130832570905764,0.15132662397072277,0.11058595990366614,0.11033851784080512,0.11058595990399316
8,Kansas,0.06789432923156355,0.03756991653041907,0.012892808457957497,0.20036141468032012,0.06789432923126903
9,Wisconsin,0.09672224910906771,0.11162831624796515,0.15022936054229072,0.18491794623608607,0.15022936054261185
10,West Virginia,0.019186391507878948,0.17155666908419595,0.08699904720158046,0.1033823432452034,0.018658193192409356
11,New Jersey,0.0037614000492975103,0.0017944293813162435,0.007790097760697777,0.04167611535617451,0.0033046914900879813
12,Tennessee,0.30981031059609937,0.022677863283234935,0.036926403536660386,0.014442797198401181,0.03692640353619278
13,Idaho,0.010199523525908279,0.03901131625967838,0.01591390007446116,0.016949573158626167,0.010199523525625517
14,Nevada,0.36284857379873653,0.17921000574309234,0.05581175215948087,0.04815263863186778,0.055811752158883975
15,Delaware,0.007640404842230601,0.041526096447707876,0.022371339137192758,0.0075907918237745585,0.02237133913737108
16,Massachusetts,0.02191464821222607,0.019600153787004998,0.007952177529879862,0.04208381391772395,0.007949878831756846
17,Utah,0.08801242325333947,0.0008771046917911628,0.09022324463544568,0.09484233683695918,0.09022324463567176
18,Minnesota,0.017133777271349272,0.0254236402220387,0.027549850376140692,0.00680542343114605,0.027528461845775613
19,Colorado,0.011283024376003504,0.013487082177784266,0.02988689220630496,0.013939570865567071,0.029887791093077484
20,Indiana,0.010905284472625247,0.026555354400295154,0.04397850509598403,0.005422611948622468,0.043968745842426576
21,North Carolina,0.0729975839132904,0.002161001857787789,0.0625575633359046,0.3115693012600229,0.06255756333559993
22,Ohio,0.07393556386616804,0.009192781766427347,0.03270315964041443,0.012872560979674553,0.032702237201394826
23,Louisiana,0.03715970742104243,0.0908193664018601,0.03325242296392157,0.10794298585545437,0.037159707420584775
24,Oregon,0.04505693502347994,0.08379116663085848,0.03955035514147596,0.017464166231852922,0.039550355141080906
25,Arkansas,9.906507337006996e-05,0.002129899077456504,0.011222749613348211,0.05120425979815491,0.01122274961374699
26,South Carolina,0.007200236795550446,0.09155176805049803,0.0023888793587797863,0.009850419554906968,0.002387620605677899
27,Nebraska,0.0015368382420405543,0.04727497935590421,0.019463759709212623,0.05537205248187907,0.001612170235869481
28,Arizona,0.01737337773145287,0.017580917417652865,0.0025018913073887416,0.040627046571905585,0.002501891307132503
29,Maryland,0.01242559281787724,0.0602413557557818,0.004215965531798465,0.00751390560452786,0.004215965531558126
30,Alabama,0.08512569138542046,0.00925380054979631,0.0738153220266147,0.04053919782731097,0.07381532202618768
31,Florida,0.005842429030660587,0.07922917722225561,0.006940120785540841,0.037796880411975695,0.006940120785132785
32,Pennsylvania,0.0027886677546222483,0.04525645113891442,0.009767715962274163,0.01195500615882901,0.009767715962429752
33,New Hampshire,0.008989040758527274,0.09235315847801995,0.0277014227473126,0.36694988301933257,0.027958684926322364
34,Vermont,0.055204140310523286,0.12535940195514664,0.0674570412984057,0.08453133985048879,0.06964679908362231
35,South Dakota,0.4473572138361804,0.4503383334121989,0.1205091555264024,0.05739838167794445,0.45016724330853114
36,Oklahoma,0.014728774997006347,0.08995329900610706,0.05990824420742733,0.10595138306789606,0.05990824420800777
37,Illinois,0.03213943131802489,0.01055846633861199,0.007097868699703366,0.020067665605856502,0.03214078373640376
38,Michigan,0.01377508874550691,0.013090427392407702,0.007637323616225136,0.012733212773399418,0.007632693325407934
39,North Dakota,0.006182531894013739,0.2668792934249264,0.04252967763973036,0.03439646712463199,0.006182531894309704
40,Connecticut,0.007793309417357343,0.016470214006750666,0.005860069523210783,0.023079505893579797,0.0077933094173056544
41,New York,0.0037830029306799135,0.007891636962845273,0.0016936099290722835,0.04833982774333276,0.0037830029307243094
42,Kentucky,0.02851474953055909,0.04865527893876068,0.019532375738258823,0.03903931189048398,0.02851474953022061
43,New Mexico,0.0130001394116827,0.07001951763557786,0.012563439745094286,0.028126306984525302,0.012563439744803926
44,Iowa,0.12990641150998744,0.0679564184942031,0.16384838942320532,0.160392512920799,0.13020099803823723
45,Virginia,0.042734925176056336,0.001093474911971831,0.020602690555772147,0.008307658450704225,0.0206021611216979
46,Maine,0.0199695701787752,0.03746671738303538,0.0073614529887366855,0.015214910612400151,0.00762770013722711
47,Missouri,0.02471135005586773,0.12366200832348226,0.014187787932440925,0.037909089436950434,0.014187787932972899
48,Average,0.06307522854764606,0.06782439060220989,0.038019708460601716,0.0609816904664344,0.04349682158356933
