,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_bilstm,MAPE_agg
0,Texas,0.015978372925256865,0.01047478229278336,0.010413686686433249,0.015610920384466792,0.010413686686246969
1,Rhode Island,0.006115362371170808,0.028009184131355,0.005429577469970089,0.007642160319009895,0.005429577469908933
2,Mississippi,0.15394274544300154,0.016115005048179202,0.04033273282559075,0.024838478226277185,0.04033273282532598
3,Montana,0.02296308222382593,0.07433420735057428,0.028484396621897053,0.020109565145306277,0.028484396621587145
4,Georgia,0.005605683225182677,0.01322186320494759,0.014474802490918029,0.009559989678404181,0.014474802490745436
5,California,0.12637773651117507,0.030756014209901986,0.030623874531568656,0.018391320198458457,0.030623874531386947
6,Washington,0.003934796164908284,0.03248423687330328,0.01698378749045214,0.03154966039975203,0.016983787490313904
7,Wyoming,0.029352609165690883,0.05108230384889337,0.03186314873619129,0.03761449862289162,0.03186314873631688
8,Kansas,0.038644899541777376,0.018344938735702455,0.010915070411138112,0.08087542441181197,0.03864489954162691
9,Wisconsin,0.027467714903949572,0.03387335871009994,0.0536344741356323,0.06684931165489658,0.05363447413580902
10,West Virginia,0.012206574564944948,0.09771507608414066,0.05923130354881635,0.0614862370389014,0.012276066985917575
11,New Jersey,0.0008344382656846435,0.0027968892907808867,0.0019198847587055983,0.01995916004971351,0.0008529952822650198
12,Tennessee,0.14489602730013787,0.014765136130908848,0.01600542403241977,0.008013637993353178,0.01600542403219097
13,Idaho,0.018035886802923156,0.007623216821572988,0.00562979562338534,0.0060400138405891325,0.018035886802773564
14,Nevada,0.17252911434194484,0.1001344982663007,0.029941873781132337,0.02860275347719832,0.029941873780829804
15,Delaware,0.01007259835369275,0.01818740863027188,0.015721334574319682,0.004325124195532737,0.01572133457441062
16,Massachusetts,0.006849485753109629,0.006308675774812502,0.002248145431290409,0.021159289491995283,0.002247639612574316
17,Utah,0.023727310658844116,0.030736742086771192,0.02546223342131538,0.02757770754275411,0.025462233421430967
18,Minnesota,0.016766100208680162,0.007971901472579574,0.02034758410403515,0.011146749621271533,0.020337634114914176
19,Colorado,0.01001121990420161,0.023169463033101894,0.010185624473525777,0.006801286641331737,0.010185683824176579
20,Indiana,0.007042931554247607,0.017796907374033527,0.018274155470451126,0.006737277326514861,0.01826948529324143
21,North Carolina,0.034211206764073764,0.0038719654301849686,0.028882758225764218,0.12350600679696047,0.02888275822561531
22,Ohio,0.0279251409798789,0.01093677401209263,0.011549938241872254,0.004661050802367594,0.011549519774433489
23,Louisiana,0.01370604098112446,0.0434318741863093,0.011807733224308913,0.04492019597436844,0.013706040980901557
24,Oregon,0.029011861486766658,0.05227827624792518,0.02692492304429475,0.018096857635437294,0.02692492304409095
25,Arkansas,0.008063718972577632,0.008426894419919511,0.006488175480471705,0.01923598745384427,0.006488175480561458
26,South Carolina,0.005261197097804741,0.055744929352305315,0.004362007284753103,0.004363671479019783,0.004361532192263737
27,Nebraska,0.003601019064704864,0.03532722192174138,0.008152941925307725,0.02732889049257469,0.003591271974948712
28,Arizona,0.009100200129978121,0.008216322817481813,0.00283739260161701,0.01888726320915822,0.00283739260154006
29,Maryland,0.0034118073421390994,0.02583641719116092,0.00407860620896117,0.0026591946140455867,0.0040786062089976545
30,Alabama,0.045646494874706844,0.006949722399542457,0.03610342055217772,0.027700093989165103,0.03610342055196866
31,Florida,0.007169282403622745,0.03833702786363479,0.005472691446210081,0.015188128112164715,0.005472691446246351
32,Pennsylvania,0.003281147792520098,0.02117474203739167,0.006596146050677361,0.008261844398958098,0.006596146050756791
33,New Hampshire,0.004723656379243034,0.053687100116819333,0.013215272368400928,0.13216942559188655,0.01334318048837203
34,Vermont,0.03471432705105809,0.06244649067223084,0.03249814269780142,0.04150633426142311,0.03360860629994399
35,South Dakota,0.2122830697225526,0.2718580964280416,0.06884471290504984,0.06087699157913925,0.2139301289768496
36,Oklahoma,0.012090238454787282,0.03691105594437647,0.0320579987444587,0.04878683063069795,0.03205799874477007
37,Illinois,0.01494157903158275,0.00856738556610121,0.007981849536929425,0.010826440212309099,0.014942177210819061
38,Michigan,0.009627393174450695,0.007186836741558284,0.005040354663318683,0.010116548186879374,0.005038351201192045
39,North Dakota,0.011934005496597028,0.12559862029775684,0.0320745716510686,0.014869265481714865,0.011934005496508953
40,Connecticut,0.0069503088862108015,0.007969006344216135,0.004073460207961477,0.008239181349956912,0.006950308886192667
41,New York,0.0011448756997174394,0.00613785523748009,0.0014399058037348929,0.021942229780599284,0.0011448756997363607
42,Kentucky,0.014082423568791523,0.020177580312982543,0.011501851766904093,0.012188488269767624,0.01408242356868722
43,New Mexico,0.0032700964463399304,0.031278631763230015,0.01258327645040281,0.02041133022560129,0.012583276450262498
44,Iowa,0.07188807347281789,0.031438234759906064,0.08599679732817878,0.09518219793486578,0.07204913821834126
45,Virginia,0.01621830083050506,0.007337425045904257,0.00694013409022151,0.0022783239880283207,0.006940020197181309
46,Maine,0.008200394972086258,0.02157178748445536,0.007076942021909235,0.011258941962740418,0.007214830206350558
47,Missouri,0.009180190687486912,0.05607559750765334,0.011139867500487687,0.015112348546402449,0.011139867500770461
48,Average,0.030729015457259912,0.03530574336402953,0.019455099638384012,0.027822179775427235,0.021828610540256168
