,state,date,cases
0,Louisiana,2020-11-22,220192
1,Louisiana,2020-11-13,201981
2,Louisiana,2020-11-12,198531
3,Louisiana,2020-11-06,191715
4,Louisiana,2020-11-19,211966
5,Louisiana,2020-11-11,194702
6,Louisiana,2020-11-27,230602
7,Louisiana,2020-11-23,221160
8,Louisiana,2020-11-18,209914
9,Louisiana,2020-11-14,201981
10,Louisiana,2020-11-17,207685
11,Louisiana,2020-11-07,191715
12,Louisiana,2020-11-03,189148
13,Louisiana,2020-11-09,193372
14,Louisiana,2020-11-28,230602
15,Louisiana,2020-11-20,216709
16,Louisiana,2020-11-08,192981
17,Louisiana,2020-11-04,190164
18,Louisiana,2020-11-10,194702
19,Louisiana,2020-11-21,216709
20,Louisiana,2020-11-05,190845
21,Louisiana,2020-11-24,224403
22,Louisiana,2020-11-25,225638
23,Louisiana,2020-11-26,225638
24,Louisiana,2020-11-16,205057
25,Louisiana,2020-11-15,204513
26,Montana,2020-11-22,55680
27,Montana,2020-11-13,44244
28,Montana,2020-11-12,43031
29,Montana,2020-11-06,37947
30,Montana,2020-11-19,51818
31,Montana,2020-11-11,42070
32,Montana,2020-11-27,59796
33,Montana,2020-11-23,56381
34,Montana,2020-11-18,50582
35,Montana,2020-11-14,45886
36,Montana,2020-11-17,49398
37,Montana,2020-11-07,38948
38,Montana,2020-11-03,35159
39,Montana,2020-11-09,40053
40,Montana,2020-11-28,60845
41,Montana,2020-11-20,53293
42,Montana,2020-11-08,39679
43,Montana,2020-11-04,35955
44,Montana,2020-11-10,41151
45,Montana,2020-11-21,54542
46,Montana,2020-11-05,36968
47,Montana,2020-11-24,57504
48,Montana,2020-11-25,58565
49,Montana,2020-11-26,59682
50,Montana,2020-11-16,48027
51,Montana,2020-11-15,47158
52,Texas,2020-11-22,1200806
53,Texas,2020-11-13,1095408
54,Texas,2020-11-12,1082038
55,Texas,2020-11-06,1022701
56,Texas,2020-11-19,1164197
57,Texas,2020-11-11,1070966
58,Texas,2020-11-27,1259695
59,Texas,2020-11-23,1208749
60,Texas,2020-11-18,1149540
61,Texas,2020-11-14,1105933
62,Texas,2020-11-17,1135383
63,Texas,2020-11-07,1030997
64,Texas,2020-11-03,991541
65,Texas,2020-11-09,1045316
66,Texas,2020-11-28,1265711
67,Texas,2020-11-20,1178339
68,Texas,2020-11-08,1037524
69,Texas,2020-11-04,1002404
70,Texas,2020-11-10,1058122
71,Texas,2020-11-21,1191436
72,Texas,2020-11-05,1013139
73,Texas,2020-11-24,1230017
74,Texas,2020-11-25,1247395
75,Texas,2020-11-26,1254822
76,Texas,2020-11-16,1123384
77,Texas,2020-11-15,1114478
78,Maine,2020-11-22,10359
79,Maine,2020-11-13,8639
80,Maine,2020-11-12,8395
81,Maine,2020-11-06,7444
82,Maine,2020-11-19,9734
83,Maine,2020-11-11,8202
84,Maine,2020-11-27,11265
85,Maine,2020-11-23,10544
86,Maine,2020-11-18,9519
87,Maine,2020-11-14,8791
88,Maine,2020-11-17,9363
89,Maine,2020-11-07,7600
90,Maine,2020-11-03,6925
91,Maine,2020-11-09,7888
92,Maine,2020-11-28,11288
93,Maine,2020-11-20,9958
94,Maine,2020-11-08,7693
95,Maine,2020-11-04,7071
96,Maine,2020-11-10,8060
97,Maine,2020-11-21,10123
98,Maine,2020-11-05,7260
99,Maine,2020-11-24,10799
100,Maine,2020-11-25,11027
101,Maine,2020-11-26,11265
102,Maine,2020-11-16,9117
103,Maine,2020-11-15,8944
104,Utah,2020-11-22,177176
105,Utah,2020-11-13,145789
106,Utah,2020-11-12,143639
107,Utah,2020-11-06,127279
108,Utah,2020-11-19,165996
109,Utah,2020-11-11,139720
110,Utah,2020-11-27,190044
111,Utah,2020-11-23,179420
112,Utah,2020-11-18,162028
113,Utah,2020-11-14,151141
114,Utah,2020-11-17,158957
115,Utah,2020-11-07,130235
116,Utah,2020-11-03,119375
117,Utah,2020-11-09,134868
118,Utah,2020-11-28,192087
119,Utah,2020-11-20,170584
120,Utah,2020-11-08,132621
121,Utah,2020-11-04,121485
122,Utah,2020-11-10,137385
123,Utah,2020-11-21,173979
124,Utah,2020-11-05,124292
125,Utah,2020-11-24,182121
126,Utah,2020-11-25,183902
127,Utah,2020-11-26,183902
128,Utah,2020-11-16,155779
129,Utah,2020-11-15,153808
130,Maryland,2020-11-22,182139
131,Maryland,2020-11-13,161769
132,Maryland,2020-11-12,159900
133,Maryland,2020-11-06,151505
134,Maryland,2020-11-19,174733
135,Maryland,2020-11-11,158423
136,Maryland,2020-11-27,192858
137,Maryland,2020-11-23,183797
138,Maryland,2020-11-18,171823
139,Maryland,2020-11-14,164090
140,Maryland,2020-11-17,169805
141,Maryland,2020-11-07,152915
