,state
0,Louisiana
1,Montana
2,Texas
3,Maine
4,Utah
5,Maryland
6,Virginia
7,Arkansas
8,South Dakota
9,Vermont
10,Minnesota
11,New Mexico
12,North Dakota
13,Mississippi
14,Georgia
15,Iowa
16,Missouri
17,Tennessee
18,Rhode Island
19,Connecticut
20,Nevada
21,Washington
22,California
23,North Carolina
24,Oklahoma
25,Alabama
26,Massachusetts
27,Colorado
28,Ohio
29,New Hampshire
30,Pennsylvania
31,Arizona
32,Kansas
33,Indiana
34,New Jersey
35,Nebraska
36,Delaware
37,South Carolina
38,Wisconsin
39,Kentucky
40,New York
41,Illinois
42,Florida
43,Idaho
44,Oregon
45,West Virginia
46,Wyoming
47,Michigan
48,Average
