,state,date,knn,mdp,rmdp,bilstm,agg,deaths
0,South Dakota,2020-09-06,178.0,180.0,172.82828196200208,170.0,177.99999999998073,173
1,South Dakota,2020-09-22,197.0,192.0,189.79382010494348,176.0,196.99999999994003,202
2,South Dakota,2020-09-04,175.0,179.0,170.8530474139948,168.0,174.99999999998715,170
3,South Dakota,2020-09-20,195.0,190.0,187.4683646704357,175.0,194.99999999994432,202
4,South Dakota,2020-09-23,198.0,192.0,190.96896564147954,177.0,197.9999999999379,202
5,South Dakota,2020-09-13,186.0,186.0,179.79962612262963,173.0,185.9999999999636,184
6,South Dakota,2020-09-12,185.0,185.0,178.7515252988766,172.0,184.99999999996575,183
7,South Dakota,2020-09-14,187.0,186.0,180.8607159553112,174.0,186.99999999996146,184
8,South Dakota,2020-09-18,191.0,189.0,185.18250297235923,175.0,190.99999999995288,195
9,South Dakota,2020-09-25,202.0,194.0,193.3802150619754,177.0,201.99999999992934,216
10,South Dakota,2020-09-17,191.0,188.0,184.08653403091205,175.0,190.99999999995288,193
11,South Dakota,2020-09-10,182.0,184.0,176.7360049326884,171.0,181.99999999997218,177
12,South Dakota,2020-09-08,181.0,182.0,174.76222701491955,171.0,180.9999999999743,173
13,South Dakota,2020-09-09,181.0,183.0,175.74533097781435,171.0,180.9999999999743,173
14,South Dakota,2020-09-26,202.0,194.0,194.61775708193196,178.0,201.99999999992934,218
15,South Dakota,2020-09-01,169.0,172.0,167.9511496860482,167.0,169.0,167
16,South Dakota,2020-09-11,184.0,185.0,177.73797559725242,172.0,183.99999999996788,177
17,South Dakota,2020-09-05,176.0,179.0,171.8341469633233,168.0,175.99999999998502,173
18,South Dakota,2020-09-19,194.0,190.0,186.3178517450839,175.0,193.99999999994645,200
19,South Dakota,2020-09-15,188.0,187.0,181.9351316265656,174.0,187.9999999999593,184
20,South Dakota,2020-09-03,175.0,176.0,169.88457987735805,168.0,174.99999999998715,169
21,South Dakota,2020-09-21,196.0,191.0,188.63445647779196,176.0,195.9999999999422,202
22,South Dakota,2020-09-07,180.0,181.0,173.7899625620662,170.0,179.99999999997644,173
23,South Dakota,2020-09-02,172.0,174.0,168.91259746935557,168.0,171.99999999999358,169
24,South Dakota,2020-09-16,190.0,188.0,183.0041944147145,175.0,189.99999999995504,192
25,South Dakota,2020-09-24,199.0,193.0,192.1603364688661,177.0,198.99999999993577,210
26,Nebraska,2020-09-06,407.0,409.0,405.526336638624,402.0,406.9999999999642,404
27,Nebraska,2020-09-22,445.0,432.0,434.99201501921414,419.0,444.9999999998281,461
28,Nebraska,2020-09-04,407.0,404.0,401.95497435322494,399.0,406.9999999999642,404
29,Nebraska,2020-09-20,439.0,430.0,431.2135175376473,417.0,438.9999999998496,442
30,Nebraska,2020-09-23,445.0,434.0,436.8981281222134,421.0,444.9999999998281,462
31,Nebraska,2020-09-13,423.0,419.0,418.14123997936383,410.0,422.9999999999069,434
32,Nebraska,2020-09-12,423.0,418.0,416.29958680997856,408.0,422.9999999999069,437
