,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_bilstm,MAPE_agg
0,South Dakota,0.07339449541284404,0.11009174311926606,0.10725799503700938,0.1834862385321101,0.07339449541316814
1,Nevada,0.14664981036662453,0.0897597977243995,0.016207797981511445,0.11820480404551201,0.016207797981191367
2,Nebraska,0.02771855010660981,0.06396588486140725,0.055738440407505356,0.09381663113006397,0.027718550107060314
3,Arkansas,0.0443579766536965,0.10194552529182879,0.1505759410030483,0.3431906614785992,0.145942627390171
4,Ohio,0.006118143459915612,0.03417721518987342,0.0019989148326468365,0.060759493670886074,0.0019989148324931435
5,Washington,0.02892960462873674,0.018804243008678882,0.030301834125819556,0.011089681774349084,0.030301834125664978
6,Pennsylvania,0.006309538537671656,0.007546702956822962,0.003776277682651509,0.0007422986514907832,0.0037762776825797217
7,New York,0.0039055458751427025,0.03878507480622484,0.006319554324307421,0.048488854172925554,0.006319554324247527
8,Idaho,0.0891304347826087,0.15434782608695652,0.07957252911659349,0.16521739130434782,0.0795725291161637
9,Iowa,0.0578386605783866,0.0593607305936073,0.009149347765895417,0.0806697108066971,0.057838660578151964
10,Vermont,0.0,0.05172413793103448,0.03320655171712284,0.05172413793103448,0.002438023541795174
11,New Jersey,0.009749736074023473,0.03626653418617649,0.021687253069814883,0.08203440352729305,0.007923258727821401
12,Missouri,0.10223953261927946,0.124634858812074,0.060021395550224725,0.19863680623174293,0.10186502883690031
13,Kentucky,0.018197573656845753,0.10745233968804159,0.0021512741857767897,0.1386481802426343,0.015686411818504133
14,Tennessee,0.05644481887110362,0.14658803706823925,0.005746412910231639,0.2038753159224937,0.0001475547582522007
15,Virginia,0.031806615776081425,0.041348600508905854,0.07497903877706943,0.12786259541984732,0.07497903877718182
16,Mississippi,0.11542425283407763,0.014428031604259704,0.06825582412654817,0.10099622122981793,0.06825582412626026
17,Louisiana,0.04371785451873622,0.004959588537839824,0.026482394620360717,0.03232916972814107,0.043717854518463745
18,West Virginia,0.18991097922848665,0.26409495548961426,0.10636418467450771,0.3115727002967359,0.06903485821379786
19,Michigan,0.011073253833049404,0.06104486087450312,0.00939448517058538,0.02285633162975582,0.012224319720006066
20,Oklahoma,0.061752988047808766,0.07569721115537849,0.013030709427438813,0.14641434262948208,0.061752988047293775
21,Utah,0.07142857142857142,0.049107142857142856,0.047130009525881915,0.029017857142857144,0.047130009525665324
22,Minnesota,0.0646887159533074,0.05009727626459144,9.533887791821558e-05,0.02091439688715953,0.06188266985935521
23,Indiana,0.0005591277606933184,0.03550461280402572,0.006671230819102437,0.03242941012021247,0.008141920718322605
24,New Hampshire,0.015945330296127564,0.03189066059225513,0.025251883683191152,0.04783599088838269,0.02525188368313327
25,Maryland,0.022420382165605095,0.0012738853503184713,0.019052093420919198,0.03745222929936306,0.022420382165518317
26,North Carolina,0.025872093023255813,0.13313953488372093,0.06667496718441064,0.16598837209302325,0.06667496718457853
27,Maine,0.05714285714285714,0.007142857142857143,0.008569026861880704,0.014285714285714285,0.008569026861798282
28,Massachusetts,0.008092854861037163,0.012032797359173677,0.0005964871149191211,0.04110318389947822,0.0007068025040723249
29,North Dakota,0.19823788546255505,0.2643171806167401,0.1700869791522693,0.33480176211453744,0.1982378854628567
30,Texas,0.006273366706799316,0.05677713706355744,0.027550405837205298,0.1195108041315506,0.027550405836812362
31,California,0.013091189116344734,0.07796958223705319,0.010912888104046154,0.10286851055637554,0.013091189116066453
32,Kansas,0.2125984251968504,0.215748031496063,0.16530514998356882,0.2440944881889764,0.21259842519697544
33,Oregon,0.046125461254612546,0.02029520295202952,0.04219761496466558,0.08302583025830258,0.042197614964411774
34,South Carolina,0.08967800180559735,0.09659945832079446,0.003472689324932017,0.12217875413782726,0.08967800180514082
35,Georgia,0.10818628868961527,0.07520971940989297,0.004808857207925531,0.12076945328319352,0.0048088572076930925
36,Delaware,0.004739336492890996,0.00315955766192733,0.004552572490542613,0.03949447077409163,0.0047393364929667866
37,Montana,0.36257309941520466,0.30409356725146197,0.07606313001220236,0.3508771929824561,0.0760631300128155
38,Connecticut,0.007998222617196179,0.03910242168407021,0.017745551234454256,0.0766496334147967,0.007998222617196179
39,Arizona,0.05193881181074351,0.009427250088936322,0.008883162734786225,0.04589114194236926,0.008883162734598568
40,Wisconsin,0.0014738393515106854,0.03537214443625645,0.002772167952070523,0.07516580692704496,0.0014738393513179958
41,Wyoming,0.26,0.22,0.12879439433142068,0.2,0.12828586986166785
42,Colorado,0.013235294117647059,0.00196078431372549,0.022634283537974278,0.014705882352941176,0.02549019607837453
43,New Mexico,0.06666666666666667,0.011494252873563218,0.016840523704008226,0.06206896551724138,0.01684052370411172
44,Illinois,0.010416666666666666,0.021625905797101448,0.005403649597559973,0.0014719202898550725,0.010416666666727836
45,Florida,0.05455712451861361,0.07787762088147197,0.0447385777599037,0.14548566538296961,0.04473857776023748
46,Alabama,0.15113954418232706,0.015193922431027589,0.03553362074048595,0.07796881247501,0.03493322448496422
47,Rhode Island,0.01084010840108401,0.056910569105691054,0.007903135729598162,0.025293586269196026,0.011743450768169851
48,Average,0.06376228397846063,0.07354889532022045,0.03859288642488568,0.10737428762439345,0.04378422177630662
