,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_bilstm,MAPE_agg
0,South Dakota,0.02970249817304211,0.044311378917332285,0.03448732348840047,0.07101710866069261,0.029702498173085803
1,Nevada,0.09138557136012887,0.05588449521147084,0.008042370773494427,0.07277186145430789,0.008042370773484126
2,Nebraska,0.0180831484555524,0.031653518404231265,0.030066349388083113,0.04942033576432596,0.01808314845574416
3,Arkansas,0.038037541644034854,0.062493100982049174,0.0983641421814989,0.20153806844968367,0.09570573322358941
4,Ohio,0.008423631669695454,0.01659482416435369,0.0049840674005517845,0.034653350077623275,0.00498406740055854
5,Washington,0.01630190747264383,0.015001131636970323,0.01805272460479479,0.008194489611387938,0.01805272460471688
6,Pennsylvania,0.002083213894487612,0.0022640476708643757,0.0047975162500634915,0.0030213671480366603,0.0047975162500273035
7,New York,0.0034440236477394246,0.022332202652533266,0.0043784765225119565,0.030275507894124178,0.004378476522482201
8,Idaho,0.047388841072328165,0.07448324499157688,0.02437198399876757,0.10217627152802942,0.02437198399860019
9,Iowa,0.02303674246691588,0.033701186920273525,0.012735663361209544,0.043931244049492016,0.023036742466831735
10,Vermont,0.0,0.03249336870026525,0.017608985771753047,0.029840848806366047,0.002438023541795174
11,New Jersey,0.0035381349162970682,0.017994006221210345,0.013795645522123534,0.03621856362566371,0.002622313109317664
12,Missouri,0.04005708022579472,0.031136939579980042,0.014238986596686213,0.09086942634332013,0.03984645525840657
13,Kentucky,0.02171661287372798,0.06659382025845792,0.01250742431952646,0.0909445034301503,0.011147609577333222
14,Tennessee,0.033334308441406266,0.06491878422355458,0.010561084010895434,0.11763602896973091,0.009227215587035346
15,Virginia,0.01800932068471374,0.028973785469730444,0.03143879302598583,0.06515554121872541,0.03143879302602734
16,Mississippi,0.05505291968888864,0.009631890874146303,0.030796732295823116,0.06324913987482297,0.030796732295678943
17,Louisiana,0.017576230505362174,0.0024195088444408093,0.00861432830410087,0.01997693846349669,0.017576230505225283
18,West Virginia,0.13120998976889114,0.147532966694619,0.08144926848079172,0.19154437317459858,0.060288670771058005
19,Michigan,0.004901960400212269,0.03549983856616825,0.004312711180523906,0.008325100780043806,0.005423147671908052
20,Oklahoma,0.03581572839933899,0.027348472323733015,0.009999208188586321,0.07690686283609237,0.03581572839909172
21,Utah,0.038127838583132415,0.03363122803293868,0.01737121488916107,0.023410256090832894,0.017371214889061702
22,Minnesota,0.03536621364357,0.027776113074357275,0.0023912957302807875,0.015895740780721146,0.033922822691372354
23,Indiana,0.001787576411057619,0.019678589237213828,0.003594957872717597,0.019396589484593826,0.004258811650943087
24,New Hampshire,0.008089611635798483,0.018149036629492566,0.014558245503867156,0.026524433540122166,0.014558245503838338
25,Maryland,0.01218871338847291,0.0017986230296096846,0.010007024763121711,0.020034168423256043,0.012188713388429426
26,North Carolina,0.015577541780919333,0.07118553656040985,0.03791657670971536,0.09043052837158916,0.03791657670980341
27,Maine,0.031769001191723455,0.006133550688285128,0.005401602996428326,0.005600645647724616,0.0054016029964065
28,Massachusetts,0.005818178058025681,0.008364684425772076,0.0011582717715299046,0.017616031082655227,0.0012127126007426628
29,North Dakota,0.06495105510774227,0.08638799406195215,0.046455015453706415,0.15036960260176196,0.06495105510792079
30,Texas,0.014235179564322928,0.023688229732856305,0.011441210317034474,0.07482967279830308,0.011441210316957457
31,California,0.006772644756111452,0.04605421140034607,0.007182787463853182,0.06735434933112103,0.006772644756125408
32,Kansas,0.12337184158282376,0.11684605341040145,0.09161380970448298,0.13620640346788104,0.12337184158288242
33,Oregon,0.012675067674862813,0.013915786897501864,0.011717708699081706,0.05005603725003126,0.011717708698977805
34,South Carolina,0.04097187653204783,0.05902961603396431,0.01344666699611715,0.08179516023685394,0.0409718765318199
35,Georgia,0.04515294081949557,0.03481966764494881,0.011293665260919444,0.07351331579689166,0.011293665260927326
36,Delaware,0.0021662084044966026,0.0073673438032973515,0.005925885145252905,0.02697126677192927,0.0021662084045046457
37,Montana,0.2111328818497883,0.1590337780569064,0.042755780115126804,0.19749021094313501,0.042755780115417884
38,Connecticut,0.003931421498491498,0.021343723195719255,0.010250267128804372,0.04106364042005944,0.003931421498491498
39,Arizona,0.025297164977418164,0.003280352548842525,0.00669647341728534,0.022478799225104238,0.006696473417201964
40,Wisconsin,0.004332986556811086,0.013335571756328327,0.004756257718080347,0.03470084765133876,0.004332986556734777
41,Wyoming,0.16896465903434546,0.14002751650835274,0.09656409028058398,0.12808413421653841,0.09629234073933991
42,Colorado,0.00622408632488876,0.0010468921594399404,0.013258474750366558,0.008564739647899668,0.012328715031902459
43,New Mexico,0.03326700316830566,0.004458261790127847,0.013168913515504496,0.04030232465245304,0.013168913515557186
44,Illinois,0.006483444058993518,0.011123834738729792,0.003194260887246108,0.008232884116210202,0.006483444059023814
45,Florida,0.025215052542744483,0.030725262243679132,0.030387595368819537,0.08438438200255084,0.030387595368992278
46,Alabama,0.08672358347128971,0.018096984166695293,0.012851794833724799,0.05421864979215152,0.01258335970765298
47,Rhode Island,0.003739671873710152,0.03639019434293546,0.005124182667524362,0.015231633961451153,0.010902590988943682
48,Average,0.03486318438026233,0.038269815614147204,0.02096016282555228,0.0608838204263724,0.023274098202124362
