,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_agg
0,Utah,0.06141367323290846,0.23638470451911936,0.15331379995426028,0.0034451115008613882
1,Nevada,0.08400188768286927,0.049079754601226995,0.09330819536539683,0.08400188768301124
2,Montana,0.017937219730941704,0.36771300448430494,0.05022771506205195,0.019661952397094666
3,Virginia,0.016280217069560926,0.0892945239269857,0.03192032765935022,0.030570495288293746
4,Tennessee,0.0004404316229905307,0.20546135212508257,0.11732365743672103,0.11597869036095729
5,Minnesota,0.15251396648044693,0.24078212290502793,0.173815324427944,0.1729586471712396
6,Maryland,0.07453281182094741,0.020425901781833986,0.048235085354436595,0.06907044987805633
7,Vermont,0.13432835820895522,0.11940298507462686,0.0802672412742591,0.13432835820895522
8,Florida,0.013013772909662727,0.026949354733759895,0.03974137518686831,0.013013772909834348
9,Illinois,0.13039414238978034,0.11551643558186633,0.1261391113388431,0.1255213770770129
10,Indiana,0.05950909411972453,0.17093413385131556,0.10410423489206524,0.035490316512692126
11,Rhode Island,0.020059435364041606,0.01634472511144131,0.03139652985790375,0.020059435363353403
12,Michigan,0.1389035597338122,0.0756311397486004,0.08980299428498463,0.08936598505639443
13,Pennsylvania,0.07211256595661521,0.022767246433457105,0.07460974232082253,0.07164654770678404
14,North Carolina,0.02260969534393562,0.1404483617551255,0.0487178463285281,0.04813075704219526
15,Wyoming,0.06046511627906977,0.4372093023255814,0.2585309264483438,0.2585309264483951
16,South Dakota,0.37898089171974525,0.4681528662420382,0.2756453900891337,0.37898089172000926
17,Alabama,0.08482642777155655,0.0635498320268757,0.09359694398885718,0.0848264277717796
18,Kansas,0.04774362328319163,0.3054283845650752,0.2176632539534024,0.06540013425803021
19,Missouri,0.17377731529656607,0.24687825182101977,0.0016642687590332377,0.17304748015499835
20,Massachusetts,0.01611090295991008,0.05245410266017235,0.006626038759323274,0.006495008545275454
21,Delaware,0.32634338138925295,0.047182175622542594,3.0394314805728005e-05,0.38204456093971173
22,New Mexico,0.13163064833005894,0.27570399476096924,0.2034311239223768,0.13163064833028734
23,West Virginia,0.2479108635097493,0.31197771587743733,0.2346140203129628,0.2226600249171074
24,Mississippi,0.06959513098703361,0.005027785128340831,0.04287027728796243,0.0695951309872046
25,Maine,0.07329842931937172,0.12041884816753927,0.18741204666075353,0.2267334437934122
26,Washington,0.09616801768607222,0.1131171702284451,0.0659851150749609,0.07366780627472848
27,Georgia,0.11035653650254669,0.14325127334465196,0.1053877621160347,0.10538776211607447
28,Arkansas,0.1212739893834218,0.07839934667211107,0.06251268806962448,0.06251268806971103
29,Iowa,0.1031578947368421,0.21178947368421053,0.15088348674864668,0.06588235294132276
30,Colorado,0.2008045591686222,0.12839423399262487,0.13647913668197886,0.19693648624257656
31,New York,0.013786711463824364,0.013033655795632277,0.002174242035794588,0.011224539811703097
32,New Jersey,0.02699675803124079,0.02664308871205423,0.0033303377557568083,0.024656299301335984
33,Louisiana,0.038335158817086525,0.06337036457518386,0.02233502798715139,0.03833515881713619
34,Wisconsin,0.12297921478060046,0.18937644341801385,0.12217785710593142,0.12432044390837135
35,Texas,0.06048976608187134,0.041895102339181284,0.08337768925661439,0.08329421343272017
36,Nebraska,0.22548028311425683,0.3225480283114257,0.18565024121576992,0.2103134479272593
37,Oregon,0.140625,0.11049107142857142,0.11856489998759732,0.10224698465859701
38,Arizona,0.08499396135265701,0.025513285024154588,0.056391814488600416,0.056391814488636796
39,Connecticut,0.026405966539004233,0.059463817778673655,0.014410180773491358,0.013051448750881309
40,Idaho,0.13253012048192772,0.22015334063526834,0.1603720785391882,0.09882888196155833
41,North Dakota,0.08143322475570032,0.24321389793702497,0.017444828455174366,0.05588554640115365
42,California,0.05236451140405943,0.04551161330822348,0.019761097977239978,0.01962170143268008
43,Kentucky,0.09283819628647215,0.10610079575596817,0.06151888022304847,0.08892464234474383
44,Ohio,0.018030730636563186,0.053465036061461274,0.07643767775550218,0.07643767775560158
45,Oklahoma,0.046592894583576,0.19336051252184042,0.07246266120570095,0.02033665275900434
46,New Hampshire,0.07648183556405354,0.0497131931166348,0.01737513543852628,0.04692789942795511
47,South Carolina,0.03014265991716521,0.025080533824206167,0.010692008141282267,0.009865694310449232
48,Average,0.09397919903750547,0.13947925592285268,0.09064026483906262,0.09621330427410724
