,state,MAPE_knn,MAPE_mdp,MAPE_rmdp,MAPE_agg
0,Utah,0.025744270435656476,0.09875912232865576,0.07219466538537332,0.008897735395882274
1,Nevada,0.035870114777022705,0.018973623330699952,0.04211735709527909,0.035870114777098686
2,Montana,0.027052045503426787,0.18943677843180567,0.016622726643001767,0.02690050441915957
3,Virginia,0.018021251724043685,0.040309406775772945,0.011264715959974905,0.010740601476071317
4,Tennessee,0.008487336331109738,0.09221327152978735,0.06226376675251526,0.06152853918935035
5,Minnesota,0.06899202457690126,0.09952716281596308,0.08129308696907281,0.0808098836085791
6,Maryland,0.028778752214869488,0.020815664789703293,0.014497850976910469,0.02592807204406777
7,Vermont,0.043133554719757466,0.0319408971751379,0.02138920933659372,0.043133554719757466
8,Florida,0.004123549303765594,0.014316363439000262,0.018791420254261525,0.004123549303843579
9,Illinois,0.05795798736653868,0.05213532879112281,0.05591760610289227,0.05529987191697118
10,Indiana,0.025463583235094126,0.06600872809177961,0.05017287718331302,0.012461294526528739
11,Rhode Island,0.018616584989887795,0.014693930681392206,0.011056927866372726,0.018616584989534054
12,Michigan,0.06158179102507199,0.02664922707248864,0.03312590704705152,0.03290762976251161
13,Pennsylvania,0.027257426492288746,0.011028903339236897,0.02738561284502783,0.027010849787434146
14,North Carolina,0.0220709350195485,0.0736830453615663,0.02920749360029375,0.028898480560049955
15,Wyoming,0.059332618580533625,0.23466205042147084,0.17306916016251,0.17306916016253945
16,South Dakota,0.2031306275879568,0.2561357631746447,0.14763477517696097,0.2031306275881185
17,Alabama,0.042495716789130375,0.038852465052223915,0.052545501362829344,0.0424957167892555
18,Kansas,0.021484929606536623,0.17458756408396464,0.1293039347558109,0.029348326575892595
19,Missouri,0.09048732914832816,0.14319025859345938,0.010908001441045015,0.0900938912190419
20,Massachusetts,0.006560087725752926,0.025801904349314207,0.0024911949729680455,0.002429789031144551
21,Delaware,0.17410460432495597,0.02305408198035189,0.0026823207555281793,0.20258806390875767
22,New Mexico,0.055673295640945,0.1184830367147792,0.09741983484859867,0.05567329564107058
23,West Virginia,0.14723518253515946,0.1603254541573184,0.13500684049576522,0.128215463967413
24,Mississippi,0.036796458739914856,0.0037547612867214735,0.022018760561127615,0.03679645874000731
25,Maine,0.029590545510719664,0.04983141440036512,0.08749814976633033,0.1088299277814803
26,Washington,0.04391912439249161,0.04980674428281737,0.02926014470042521,0.03209451415971914
27,Georgia,0.08089129088438837,0.10199494548529496,0.08253401940787618,0.08253401940789656
28,Arkansas,0.04931910905319819,0.04190573545121113,0.041647212080957785,0.04164721208100285
29,Iowa,0.04754323477136314,0.08940780205769358,0.07751597320586011,0.027346219382516725
30,Colorado,0.09848838775343641,0.057658657490130834,0.060444967100176265,0.0963711903402758
31,New York,0.005905167296364829,0.005516501109261539,0.0009060783597863467,0.004613636907412935
32,New Jersey,0.01095099583892488,0.010478009648921158,0.0055705789589917875,0.009763854034835956
33,Louisiana,0.01844668699944472,0.03190665824017615,0.009337595200258257,0.018446686999469993
34,Wisconsin,0.08259506291721969,0.05759891262938123,0.0754978431454302,0.08336026171141857
35,Texas,0.030816236166005023,0.02366214554898967,0.04394081114222411,0.04389690198832308
36,Nebraska,0.1152967717976894,0.16606006019006486,0.09053922229173657,0.10664032861461668
37,Oregon,0.05794119267516487,0.03724391635832229,0.04694060244396107,0.036745114190079316
38,Arizona,0.0461390749842423,0.01334598429762902,0.030883297850764546,0.030883297850783146
39,Connecticut,0.008904643394399744,0.02663344993083017,0.004141200444964422,0.004050796539022638
40,Idaho,0.08311327677805597,0.13367484587235312,0.09845549298793908,0.06445610012133288
41,North Dakota,0.07786020957446417,0.12407230620710395,0.044423007694831165,0.06324007226657682
42,California,0.02511691257059043,0.0250041759267247,0.007630293171580941,0.007558723590986865
43,Kentucky,0.04856068981004866,0.05368267883449099,0.026997447699952454,0.046448488966714115
44,Ohio,0.019802332539695856,0.01820498434610041,0.029363610776167972,0.029363610776220437
45,Oklahoma,0.02718445264682767,0.10181843302299903,0.043213983318335286,0.013073046305280391
46,New Hampshire,0.03440374462776285,0.034127356426671314,0.01826070807529659,0.033503906340950865
47,South Carolina,0.01496079887738775,0.011508175569917614,0.006553151607522076,0.006160298249600622
48,Average,0.04933754167196006,0.06863505598116273,0.047540352916300974,0.050583255598054114
